Nalu Norm Post Processing.......
Field        Step        Time  Node Count         Loo          L1          L2
        dpdx[1]          10       0.025       18513     31.8768    0.996228     4.85859
        dpdx[2]          10       0.025       18513    0.021633  0.00155493  0.00332304
    velocity[0]          18       0.045       18513  0.00986766  0.00245948  0.00334103
    velocity[1]          18       0.045       18513  0.00949232  0.00203137  0.00284171
    velocity[2]          18       0.045       18513  0.00117689 5.87471e-05 0.000135972
        dpdx[0]          18       0.045       18513     31.4113    0.985703     4.78294
        dpdx[1]          18       0.045       18513     31.0924    0.976802     4.77835
        dpdx[2]          18       0.045       18513    0.015623  0.00100291  0.00216612
    velocity[0]          11      0.0275       18513  0.00844559  0.00213033  0.00304138
    velocity[1]          11      0.0275       18513  0.00810337  0.00185116  0.00277263
    velocity[2]          11      0.0275       18513 0.000742002 3.97308e-05 9.02768e-05
        dpdx[0]          11      0.0275       18513     32.2054     1.02174     4.88126
        dpdx[1]          11      0.0275       18513     31.8781    0.998918      4.8701
        dpdx[2]          11      0.0275       18513   0.0219492  0.00155079  0.00328224
    velocity[0]          19      0.0475       18513   0.0100416  0.00249327  0.00337098
    velocity[1]          19      0.0475       18513  0.00965953  0.00206125  0.00286734
    velocity[2]          19      0.0475       18513  0.00124375 6.07307e-05  0.00014117
        dpdx[0]          19      0.0475       18513     31.4086    0.986758     4.78913
        dpdx[1]          19      0.0475       18513     31.1313    0.978654     4.78515
        dpdx[2]          19      0.0475       18513    0.016893 0.000975598  0.00212206
    velocity[0]          12        0.03       18513  0.00874306   0.0021891   0.0030952
    velocity[1]          12        0.03       18513  0.00805556   0.0018798  0.00277913
    velocity[2]          12        0.03       18513 0.000798013 4.29523e-05 9.76129e-05
        dpdx[0]          12        0.03       18513     31.9777     1.01103     4.85158
        dpdx[1]          12        0.03       18513     31.6719     0.99159     4.84204
        dpdx[2]          12        0.03       18513   0.0198643  0.00137203  0.00293697
    velocity[0]          20        0.05       18513   0.0101886  0.00253444  0.00341833
    velocity[1]          20        0.05       18513  0.00980911  0.00208441  0.00287855
    velocity[2]          20        0.05       18513  0.00130753  6.2517e-05 0.000145967
        dpdx[0]          20        0.05       18513     31.1943    0.977715     4.75495
        dpdx[1]          20        0.05       18513     30.9702    0.970365     4.75181
        dpdx[2]          20        0.05       18513    0.017981 0.000943255  0.00207602
    velocity[0]          13      0.0325       18513  0.00855581  0.00223462  0.00312679
    velocity[1]          13      0.0325       18513  0.00832573  0.00190526  0.00278525
    velocity[2]          13      0.0325       18513 0.000859438 4.63337e-05  0.00010558
        dpdx[0]          13      0.0325       18513     32.0168     1.01271     4.86209
        dpdx[1]          13      0.0325       18513     31.6552    0.994546     4.85271
        dpdx[2]          13      0.0325       18513   0.0196044  0.00133191  0.00283386
    velocity[0]          14       0.035       18513  0.00888094  0.00228803  0.00317828
    velocity[1]          14       0.035       18513  0.00860986  0.00193065  0.00279122
    velocity[2]          14       0.035       18513 0.000909912 4.91045e-05 0.000112169
        dpdx[0]          14       0.035       18513     31.8021     1.00242     4.83141
        dpdx[1]          14       0.035       18513     31.4323    0.987539     4.82348
        dpdx[2]          14       0.035       18513   0.0180839  0.00121061  0.00259425
    velocity[0]          15      0.0375       18513  0.00917305  0.00233027  0.00321059
    velocity[1]          15      0.0375       18513  0.00886617  0.00195717  0.00280511
    velocity[2]          15      0.0375       18513  0.00097496 5.19196e-05 0.000118943
        dpdx[0]          15      0.0375       18513     31.8236     1.00387     4.84039
        dpdx[1]          15      0.0375       18513     31.4002    0.990277     4.83295
        dpdx[2]          15      0.0375       18513   0.0175724  0.00116671  0.00249245
    velocity[0]          16        0.04       18513  0.00943431  0.00237851  0.00326065
    velocity[1]          16        0.04       18513  0.00909754  0.00198064  0.00281236
    velocity[2]          16        0.04       18513  0.00104168 5.43313e-05 0.000124819
        dpdx[0]          16        0.04       18513     31.6136    0.993753     4.80848
        dpdx[1]          16        0.04       18513     31.1736    0.982537     4.80228
        dpdx[2]          16        0.04       18513   0.0163548  0.00108902  0.00233491
    velocity[0]          17      0.0425       18513  0.00966545  0.00241631  0.00329231
    velocity[1]          17      0.0425       18513  0.00930552  0.00200884  0.00283265
    velocity[2]          17      0.0425       18513  0.00111071 5.66832e-05 0.000130689
        dpdx[0]          17      0.0425       18513     31.6221    0.994968     4.81599
        dpdx[1]          17      0.0425       18513     31.2299    0.984762     4.81038
        dpdx[2]          17      0.0425       18513   0.0157501  0.00105234  0.00225824
    velocity[0]          18       0.045       18513  0.00986766  0.00245948  0.00334103
